Cod_setor,Cod_Grandes Regiġes,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,,,,,,,,,,
270020105000002,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),1,0,236,835,3,54,3,9,1060,79,1549435,11,1117,62,1569015,65,617,14,907220,51,989,63,1086563,48
270020105000003,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),1,0,366,1261,3,45,3,55,642,83,574311,46,728,41,588475,83,385,2,388719,1,681,92,486163,24
270020105000004,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),1,0,385,1229,3,19,2,55,577,7,458594,13,628,29,466991,91,342,62,299992,39,550,14,367632,29
270020105000005,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),1,0,308,1182,3,84,3,95,349,31,137791,9,446,41,132725,89,162,41,80173,48,375,25,105434,6
270020105000006,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),1,0,384,1422,3,7,3,78,405,16,137363,42,508,43,119811,95,216,74,110906,34,448,9,125646,91
270020105000007,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),1,0,234,976,4,17,3,69,462,1,502996,72,594,13,568629,33,210,2,224118,31,459,68,376199,35
270020105000008,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),1,0,149,490,3,29,2,48,939,81,1761200,56,972,44,1790825,93,565,79,998612,34,840,99,1253761,6
270020105000009,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),8,0,344,1300,3,78,3,78,326,27,91987,15,471,59,64311,1,183,39,89505,3,394,21,109332,21
270020105000010,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),8,0,175,676,3,86,3,59,455,15,300080,63,608,2,307980,28,211,91,159139,17,542,32,228415,72
270020105000011,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),8,0,159,630,3,96,3,29,222,52,100050,59,397,53,109273,37,104,89,53094,83,367,84,89725,95
270020105000012,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),5,0,201,715,3,56,2,89,188,82,80382,1,499,37,57204,18,111,83,55132,62,487,38,57259,53
270020105000013,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),5,0,119,506,4,25,5,9,429,97,82946,99,522,11,52302,55,193,47,73619,89,426,6,62969,54
270020105000014,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),8,0,268,952,3,55,3,3,411,145088,66,470,72,138029,44,221,7,130900,87,419,52,164796,8,
270020105000015,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),5,0,141,446,3,16,2,67,420,52,714823,74,539,3,853656,3,275,32,370970,97,456,71,533306,5
270020105000016,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),8,0,135,469,3,47,2,97,415,13,183656,11,528,7,173762,92,240,91,120992,43,489,31,124218,1
270020105000017,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),8,0,128,457,3,57,2,89,505,63,403443,43,543,87,413240,57,265,32,222791,19,450,2,295131,41
270020105000018,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),4,0,322,1711,5,31,12,19,331,2,77176,25,414,74,61913,24,166,16,60039,8,372,92,57640,21
270020105000019,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),1,0,260,857,3,3,2,19,425,93,137885,91,545,52,111229,48,271,45,119418,85,536,34,93811,27
270020105000020,2,Região Nordeste,27,Alagoas,2703,Leste Alagoano,27012,So Miguel dos Campos,0,Municípios no pertencentes a estrutura de RM,2700201,ANADIA,270020105,ANADIA,27002010500,ANADIA,2700201000,ANADIA (todos os setores),5,0,163,601,3,69,3,3,324,18,212437,45,436,71,237239,42,246,37,148505,77,465,37,178714,51
270030005000001,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300012,Centro,1,0,170,502,2,95,2,85,1309,45,6957081,87,1349,13,7115327,94,756,33,3473473,98,1151,91,4839007,7
270030005000002,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300012,Centro,1,0,157,465,2,96,2,37,1740,27,4284497,2,1833,71,4343596,5,1149,26,3319760,11,1609,73,3910644,4
270030005000003,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300012,Centro,1,0,281,795,2,83,2,29,1595,62,3449526,19,1660,62,3482232,24,1035,4,2356883,7,1405,81,2680524,9
270030005000004,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300012,Centro,1,0,236,753,3,19,2,84,1541,59,3091215,78,1616,96,3120608,12,817,25,1674058,3,1229,45,2012362,38
270030005000005,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300012,Centro,1,0,206,692,3,36,3,95,1000,49,1358754,69,1205,27,1390233,2,736,2,1301730,55,1045,57,1526053,72
270030005000006,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300012,Centro,1,0,350,1211,3,46,2,36,1168,24,3086446,97,1224,2,3166028,49,649,73,1488495,49,951,45,1893205,78
270030005000007,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300010,Capiat,1,0,244,861,3,53,2,77,1355,22,3733138,2,1559,78,3978717,7,881,89,2607429,2,1291,95,3291387,
270030005000008,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300010,Capiat,1,0,224,908,4,5,3,95,314,4,102196,64,545,32,50943,3,248,97,97891,13,541,12,54548,19
270030005000009,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300010,Capiat,1,0,330,1241,3,76,2,88,1178,32,2138410,71,1262,49,2185047,51,643,62,1221546,2,1016,64,1550766,75
270030005000010,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300026,Santa Edwiges,1,0,197,731,3,71,3,29,768,31,775331,94,813,75,784258,11,380,99,426678,21,681,47,558817,26
270030005000011,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300008,Caititus,1,0,327,1267,3,87,3,58,587,86,762996,1,634,42,793993,36,322,45,406561,65,514,12,549911,3
270030005000012,2,Região Nordeste,27,Alagoas,2702,Agreste Alagoano,27006,Arapiraca,12,RM Agreste,2700300,ARAPIRACA,270030005,ARAPIRACA,27003000500,ARAPIRACA,2700300008,Caititus,1,0,279,1035,3,71,3,13,601,25,357195,48,670,99,351810,49,333,26,212005,5,551,31,230541,68
